Latitude,Longitude,ciudad_o_pais
63.45,-162.12,St. Michael
57.167,-170.213,St. Paul Island
54.134,-165.986,Akutan
55.418,-163.147,Amak
52.5,-171.252,Amukta
52.331,-174.139,Atka Volcanic Complex
51.91,-177.438,Bobrof
53.93,-168.03,Bogoslof
52.35,175.911,Buldir
52.894,-170.054,Carlisle
52.577,-171.13,Chagulak
52.825,-169.944,Cleveland
51.97,178.33,Davidof
54.65,-164.43,Fisher
51.79,-178.794,Gareloi
52.076,-176.13,Great Sitkin
52.742,-170.111,Herbert
54.765,-163.723,Isanotski
52.974,-169.72,Kagamil
51.923,-177.168,Kanaga
52.177,-175.508,Kasatochi
52.103,177.602,Kiska
52.22,-175.13,Koniuji
52.381,-174.166,Korovin
51.95,178.543,Little Sitkin
53.891,-166.923,Makushin
51.944,-176.747,Moffett
53.43,-168.13,Okmok
53.157,-168.539,Recheschnoi
54.8,-163.589,Roundtop
52.315,-172.51,Seguam
52.015,178.136,Segula
51.93,179.58,Semisopochnoi
52.03,-174.93,Sergief
54.756,-163.97,Shishaldin
51.873,-178.006,Takawangha
52.83,-169.77,Tana
51.885,-178.146,Tanaga
53.065,-169.77,Uliaga
52.0,-173.5,Unnamed
53.13,-168.693,Vsevidof
54.516,-164.65,Westdahl
52.639,-170.632,Yunaska
12.278,93.858,Barren Island
13.43,94.28,Narcondum
-75.8,-132.33,Andrus
-76.05,-136.0,Berlin
-62.063,-56.713,Bridgeman Island
-59.017,-26.533,Bristol Island
-66.78,163.25,Buckle Island
-57.08,-26.67,Candlemas Island
-62.957,-60.637,Deception Island
-77.53,167.17,Erebus
-56.712,-27.176,Hodson
-74.33,-99.42,Hudson Mountains
-56.656,-28.14,Leskov Island
-65.03,-60.05,Lindenberg Island
-74.35,164.7,Melbourne
-62.02,-57.67,Melville
-58.445,-26.374,Montagu Island
-78.5,163.53,Morning
-64.15,-57.75,Mount Haddington Volc Field
-63.579,-55.78,Paulet
-62.1,-57.93,Penguin Island
-68.85,-90.58,Peter I Island
-72.67,165.5,"Pleiades, The"
-55.912,-28.167,Protector Seamounts
-78.25,163.33,Royal Society Range
-57.8,-26.483,Saunders
-65.03,-60.05,Seal Nunataks Group
-73.43,-126.67,Siple
-59.442,-27.225,Southern Thule
-67.4,164.83,Sturge Island
-76.28,-112.08,Takahe
-75.8,-115.83,Toney Mountain
-73.45,164.58,Unnamed
-76.83,163.0,Unnamed
-77.17,-126.88,Waesche
-66.42,162.47,Young Island
-56.3,-27.57,Zavodovski
26.0,57.0,Ormus Islands
12.25,45.0,Unnamed
15.603,44.098,"Arhab, Harra of"
14.067,48.3,Balhaf-Bir Ali Volcanic Field
15.515,50.935,Bir Borhut
14.57,44.67,"Dhamar, Harras of"
15.4,45.1,"Haylan, Jabal"
15.245,44.236,"Marha, Jabal el-"
13.58,46.12,"Sawad, Harra Es-"
32.333,37.583,"Ash Shaam, Harrat"
18.37,41.63,"Birk, Harrat al"
26.58,40.2,"Ithnayn, Harrat"
25.5,40.0,"Khaybar, Harrat"
22.8,41.38,"Kishb, Harrat"
25.17,37.75,"Lunayyir, Harrat"
27.8,36.17,"Rahah, Harrat ar"
23.08,39.78,"Rahat, Harrat"
27.08,37.25,"Uwayrid, Harrat"
17.05,42.83,"Yar, Jabal"
85.608,85.25,East Gakkel Ridge at 85°E
88.27,-65.6,Unnamed
-26.12,-67.4,Antofagasta Volcanic Field
-41.88,-72.58,Apagado
-24.29,-67.783,Aracar
-34.592,-69.921,"Atuel, Caldera del"
-39.02,-70.37,"Blanca, Laguna"
-26.766,-67.746,"Blanco, Cerro"
-26.632,-68.361,"Condor, El"
-36.638,-70.432,Domuyo
-26.8,-68.37,Falso Azufre
-39.887,-71.58,Huanquihue Group
-26.48,-68.58,"Nevada, Sierra"
-36.422,-69.241,Payun Matru
-26.623,-68.116,Peinado
-37.567,-69.617,Puesto Cortaderas
-24.188,-68.054,Pular
-34.917,-69.981,Risco Plateado
-27.105,-68.713,"Solo, El"
-27.196,-68.561,Tipas
-37.738,-70.906,Trolon
-37.142,-70.03,Tromen
-37.144,-70.033,Tromen Volcanic Plateau
-24.05,-66.48,Tuzgle
-25.078,-68.266,Unnamed
-49.358,-73.28,"Viedma, Volcan"
40.53,44.2,Aragats
40.283,45.0,Ghegham Volcanic Ridge
40.028,45.74,Porak
39.742,45.992,Tskhouk-Karckar
39.797,45.497,Vaiyots-Sar
-0.433,-19.596,Romanche Fracture Zone
7.0,-21.83,Unnamed
4.2,-21.45,Unnamed
-3.5,-24.5,Unnamed
38.75,-38.08,Pico Fracture Zone
66.0,-27.75,Unnamed
49.0,-34.5,Unnamed
39.95,-25.83,Unnamed
63.895,-22.258,Fagradalsfjall
71.082,-8.155,Jan Mayen
-7.95,-14.37,Ascension
-53.93,5.5,Thompson Island
-20.514,-29.331,Trindade
-37.092,-12.28,Tristan da Cunha
-32.958,-5.22,Walvis Ridge at 33°S
-54.408,3.351,Bouvet
-37.42,-12.48,Nightingale Island
-28.98,-140.25,Macdonald
-18.367,144.567,McBride Volcanic Province
-37.77,142.5,Newer Volcanics Province
37.77,-25.47,Agua de Pau
39.699,-31.111,Corvo
38.23,-26.63,Don Joao de Castro Bank
38.576,-28.713,Fayal
39.462,-31.216,Flores
37.77,-25.32,Furnas
39.02,-27.97,Graciosa
32.73,-16.97,Madeira
37.6,-25.88,Monaco Bank
38.47,-28.4,Pico
37.78,-25.67,Picos Fissural Volcanic System
38.65,-28.08,Sao Jorge
37.865,-25.785,Sete Cidades
38.73,-27.32,Terceira
-7.125,128.675,Wurlali
-4.523,129.881,Banda Api
-6.62,124.22,Emperor of China
-5.543,130.303,Manuk
-6.6,124.675,Nieuwerkerk
-6.73,129.5,Nila
-6.312,130.017,Serua
-6.976,129.144,Teon
-6.642,126.65,Wetar
-19.78,-66.48,Jatun Mundo Quri Warani
-19.463,-67.432,"Jayu Khota, Laguna"
-20.85,-68.2,Pampa Luxsar
-18.166,-69.142,Parinacota
-18.62,-68.75,Tambo Quemado
-21.5,-67.5,"Yumia, Cerro"
4.4,117.88,Bombalai
-6.137,155.196,Bagana
-5.916,155.001,Balbi
-6.09,155.225,Billy Mitchell
-6.52,155.62,Loloru
-6.442,155.608,Takuan Group
-5.835,154.935,Tore
60.42,-135.42,Alligator Lake
59.708,-133.358,Atlin Volcanic Field
50.8,-123.4,Bridge River Cones
50.12,-123.28,Cayley Volcanic Field
54.7,-130.23,Crow Lagoon
57.72,-130.63,Edziza
62.93,-137.38,Fort Selkirk
49.85,-123.0,Garibaldi
49.933,-123.0,Garibaldi Lake
58.6,-131.97,Heart Peaks
56.78,-131.28,Hoodoo Mountain
56.567,-130.75,Iskut-Unuk River Cones
58.42,-131.35,Level Mountain
50.63,-123.5,Meager
52.498,-128.723,Milbanke Sound Group
52.928,-123.732,Nazko
52.47,-124.7,Satah Mountain
51.518,-126.113,Silverthrone
57.43,-130.68,Spectrum Range
55.111,-128.899,Tseax River Cone
59.37,-130.58,Tuya Volcanic Field
52.33,-120.57,Wells Gray-Clearwater
28.358,-14.02,Fuerteventura
28.0,-15.58,Gran Canaria
27.73,-18.03,Hierro
28.57,-17.83,La Palma
29.03,-13.63,Lanzarote
28.271,-16.641,Tenerife
14.851,-24.704,Brava
14.95,-24.35,Fogo
17.07,-25.17,Santo Antao
-27.033,-68.296,"Incahuasi, Nevado de"
-39.637,-71.502,Lanin
-34.164,-69.832,Maipo
-33.789,-69.895,San Jose
-40.783,-72.15,Antillanca Volcanic Complex
-37.406,-71.349,Antuco
-35.653,-70.761,"Azul, Cerro"
-36.286,-71.009,"Blancas, Lomas"
-39.25,-71.75,Caburgua-Huelemolle
-35.558,-70.496,Calabozos
-37.92,-71.45,Callaqui
-40.35,-72.07,Carran-Los Venados
-36.868,-71.378,"Chillan, Nevados de"
-37.856,-71.183,Copahue
-35.58,-70.75,Descabezado Grande
-35.123,-69.9,Infiernillo
-38.692,-71.729,Llaima
-36.196,-71.164,"Longavi, Nevado de"
-38.379,-71.586,Lonquimay
-38.255,-71.167,"Mariñaqui, Laguna"
-36.058,-70.492,"Maule, Laguna del"
-39.927,-72.027,Mocho-Choshuenco
-34.608,-70.295,Palomo
-40.77,-71.95,"Pantojo, Cerro"
-35.223,-70.568,Planchon-Peteroa
-40.969,-72.264,Puntiagudo-Cordon Cenizos
-40.59,-72.117,Puyehue-Cordon Caulle
-39.496,-71.722,Quetrupillan
-36.461,-70.903,"Resago, Volcan"
-35.989,-70.849,San Pedro-Pellado
-38.97,-71.52,Sollipulli
-34.814,-70.352,Tinguiririca
-38.31,-71.645,Tolhuaca
-38.509,-70.898,Tralihue
-33.425,-69.797,Tupungatito
-39.42,-71.93,Villarrica
-27.114,-109.356,Rapa Nui
-33.658,-78.85,Robinson Crusoe
-26.27,-80.12,San Felix
-33.622,-78.78,Unnamed
-33.62,-76.83,Unnamed
-25.414,-68.588,"Bayo Gorbea, Cerro"
-25.336,-68.521,Cordon del Azufre
-25.083,-68.367,Corrida de Cori Volcanic Field
-24.72,-68.53,Llullaillaco
-27.109,-68.541,"Ojos del Salado, Nevados"
-24.396,-68.246,Socompa
-21.787,-68.237,"Azufre, Cerro del"
-22.895,-67.566,Guayaques
-20.73,-68.55,Irruputuncu
-20.939,-68.413,Olca-Paruma
-22.719,-67.891,Sairecabur
-23.292,-67.618,Acamarachi
-23.949,-67.74,Caichinque
-23.58,-67.7,Chiliques
-23.236,-67.645,Colachi
-27.3,-69.13,Copiapo
-23.743,-67.534,Cordon de Puntas Negras
-18.42,-69.092,Guallatiri
-19.15,-68.83,Isluga
-23.37,-67.73,Lascar
-25.168,-68.507,Lastarria
-22.83,-67.88,Licancabur
-23.82,-67.77,Miniques
-24.18,-68.25,"Negrillar, El"
-24.319,-68.59,"Negrillar, La"
-23.52,-67.67,"Overo, Cerro"
-23.0,-67.75,Purico Complex
-22.557,-67.853,Putana
-21.888,-68.391,San Pedro-San Pablo
-18.1,-69.5,Taapaca
-17.721,-69.773,Tacora
-19.13,-68.53,Tata Sabaya
